training_loss,training_loss_rmse,training_loss_cos,validation_loss,validation_loss_rmse,validation_loss_cos
219.49787390039612,175.18902824184616,44.30884565854997,428.6543604169613,383.49849958312626,45.15586083383507
218.04374899266494,172.7652138667858,45.27853512587912,234.52909972966555,187.30779306237355,47.22130666729202
215.51615738087176,171.01601815077754,44.5001392300942,218.679417074695,170.79528646739053,47.884130607304485
213.33593471265766,168.9914915202578,44.3444431923999,215.57063507929456,170.3147677423813,45.25586733691328
212.12668829683676,167.2809444834648,44.845743813371975,211.37898437119395,166.02219510929694,45.35678926189702
209.43187549661704,164.63076812676084,44.80110736985617,212.32209489584713,161.88753483053716,50.43456006530995
206.69621876512448,160.76151141778917,45.93470734733532,193.6518106411633,148.3162147958626,45.335595845300716
201.1664447348056,155.72500409928463,45.441440635520955,201.48540886836426,156.49118335136683,44.994225516997446
184.14847842654075,139.37981628011798,44.76866214642278,180.82092239587197,136.1890235283474,44.63189886752457
162.99809033657658,116.82386346405636,46.174226872520194,157.19336642451398,105.91902637589232,51.27434004862168
137.90891287893888,93.20536775760702,44.70354512133188,128.01319166974793,87.03470033491075,40.97849133483719
111.17919472572899,68.7236063797186,42.455588346010394,115.33997973265062,52.57137234039245,62.76860739225816
82.30150428546173,42.91855996614001,39.382944319321716,85.76819874026572,33.189033675905186,52.57916506436054
67.46605335709712,32.62898699550085,34.83706636159628,85.4147806854073,53.591948252102334,31.822832433304956
60.5574318759666,29.949025815843388,30.608406060123205,71.61884160833087,30.953182460880008,40.66565914745087
57.10750003861725,27.855114203209673,29.252385835407587,67.14244424488332,28.653773572562883,38.48867067232043
51.87536073677852,27.838731765640805,24.036628971137723,125.73382306725077,68.34320175292598,57.390621314324775
55.81677600956315,26.21156731159116,29.605208697971992,63.27133355169892,31.694365297003483,31.576968254695444
50.44299492341157,24.894047222987044,25.548947700424524,59.58747493550427,23.556986331748217,36.030488603756055
47.968380351335824,24.009263312307983,23.959117039027834,47.823484958373015,25.776651609041537,22.04683334933148
45.54323670908605,24.286541666803586,21.256695042282466,85.2388122709974,37.5314748888904,47.707337382107
51.1129592321198,25.393207523816677,25.719751708303118,73.65395714380693,26.93923500388194,46.71472213992498
43.463188901438166,21.16952660965159,22.293662291786575,41.93608572614214,17.73338585034137,24.202699875800775
43.84795613519654,21.983600329944064,21.86435580525248,80.13369006665832,24.758941879648518,55.37474818700979
60.80816330111498,25.657735381993366,35.15042791912162,88.82685622381416,37.71319041042071,51.11366581339345
57.995058255078476,26.50602886867874,31.48902938639975,91.10527256710813,41.59529898647355,49.50997358063458
49.29642785226231,23.787562060979596,25.508865791282716,85.02883440771309,35.151909422751885,49.87692498496121
42.010820176848206,20.313842706452416,21.69697747039579,48.44316489218366,18.075282787626563,30.367882104557093
41.49870779750174,17.99209448220332,23.50661331529841,49.9473653793203,20.382368687484988,29.56499669183531
42.869739896550094,18.124276924280736,24.74546297226936,62.29058634928152,24.026111157025014,38.26447519225651
41.35183735962698,19.085890957675666,22.265946401951304,77.6279816335539,26.04578379762587,51.58219783592803
46.979692289595164,20.025240326485648,26.95445196310951,66.70270493223288,27.19205936497191,39.510645567260966
38.80313902123039,16.221963939734643,22.581175081495754,39.66996769004239,16.132620945624563,23.53734674441783
35.917014686334525,16.985201757526646,18.931812928807876,33.63167361370358,14.957749369044011,18.67392424465957
39.84994983636813,16.335636330453006,23.51431350591513,37.03482593260888,14.230976829035647,22.803849103573235
31.583997467228777,15.379216027416488,16.2047814398123,38.01212019909909,17.67564636161289,20.336473837486196
33.85424249677638,14.624234411081305,19.230008085695072,27.23652640156075,10.68733330231892,16.54919309924183
28.285267015171417,13.079891004150678,15.205376011020737,29.908756074299404,13.333384329339113,16.575371744960293
26.70493812138356,11.81411335195031,14.890824769433255,30.911590486241856,14.629221339287858,16.282369146954
36.340800467061435,13.769563431476525,22.571237035584907,61.7940115732239,20.23414727514649,41.559864298077414
34.84314847879338,14.728133472120595,20.115015006672774,30.384613187856804,15.497684270116755,14.886928917740049
42.26392357966883,17.524538695554824,24.739384884114006,41.280294708449006,15.344229059694761,25.93606564875425
35.82003613725275,13.069232706526604,22.750803430726148,39.681375328926876,18.197114059892996,21.48426126903388
31.119057717278476,14.177731759715188,16.941325957563283,39.53398250973003,16.023130238530534,23.510852271199496
27.20597562266495,13.862680916021265,13.34329470664369,27.65024874452451,13.076824338066842,14.573424406457669
26.680448730510573,13.860276045647584,12.820172684862987,27.226015189500195,9.451164668128957,17.77485052137124
29.68456988346884,13.726213856152581,15.958356027316253,27.351698562772516,9.534088435309512,17.817610127463006
25.69810650011298,10.870620706513408,14.827485793599573,53.31154452131768,27.236418981565567,26.07512553975211
27.383747060397365,13.562963400468528,13.820783659928837,30.173376927163503,17.096051404369334,13.077325522794169
31.707489045753874,12.911293011480627,18.796196034273244,31.54488705482779,11.124930101999986,20.419956952827803
30.09509609235037,12.023554794328353,18.07154129802202,50.31659516477646,17.184523495507822,33.13207166926864
27.969125295401273,13.011501411414098,14.957623883987178,30.82298798961227,13.351071805782304,17.47191618382996
27.304023488808404,11.908096237763095,15.395927251045306,35.80109522010516,17.201884000200693,18.599211219904472
31.46225998311936,13.94493932254971,17.517320660569656,30.491807929082185,11.712412428355758,18.779395500726427
23.323401603711655,11.305079194358763,12.01832240935289,34.705823000141685,12.883370754055534,21.82245224608615
25.0774066970863,12.039607635429183,13.037799061657124,42.062557441580374,21.633582292338712,20.42897514924166
26.25182827765639,14.41064726107437,11.84118101658202,29.798194013829573,10.578316404444188,19.219877609385385
24.26931523431204,14.074558276248311,10.194756958063726,27.864625264352668,9.772917702715812,18.091707561636852
23.22164564240953,12.480606349183374,10.741039293226155,26.48658524685736,10.293955836329125,16.19262941052823
21.349082615728648,10.482854219852507,10.866228395876142,32.72685594620512,9.248996359749263,23.47785958645586
20.555286295177538,10.0338003681249,10.521485927052641,27.804191607553,10.368604492313192,17.43558711523981
19.77160895034271,10.768152887193365,9.003456063149349,29.011035258253276,11.41184972309243,17.599185535160846
28.624484187460023,13.9818669006329,14.642617286827122,54.0561967895213,15.086010062288343,38.970186727232964
27.256355847877135,13.237094884245968,14.019260963631167,47.35389964237797,25.163788116865927,22.19011152551204
23.82756562658065,12.230586783823673,11.596978842756977,32.727866621849685,13.366969367208457,19.360897254641234
24.875197915776077,13.282629119901598,11.592568795874477,51.5608253682428,16.107183708340433,35.453641659902374
33.25265192137758,13.380130467739855,19.872521453637724,31.082116426289755,12.995041752960361,18.087074673329393
29.30846252860757,11.23961084462731,18.06885168398026,31.25309487530905,10.483696474876925,20.769398400432124
27.949766102666484,14.453162029016632,13.49660407364985,40.662315270875936,12.378457475429064,28.28385779544687
21.019503753556037,9.63255993375832,11.386943819797715,37.814539608195275,11.61074506459864,26.20379454359663
20.10721283966035,11.208219036717297,8.898993802943052,29.11819217015463,12.990296700035563,16.127895470119064
22.786757889673716,10.198206571534179,12.588551318139535,25.268423070476196,9.361428969603498,15.906994100872698
17.264820329792045,10.045978118996409,7.218842210795636,29.098206046691004,12.104006760316217,16.994199286374783
18.27754547238068,9.971984203023776,8.305561269356902,50.225708790397555,12.308940433847047,37.916768356550506
18.690598980926445,8.18445954707219,10.506139433854255,42.460084302931065,15.653022861326653,26.807061441604414
27.437849204408504,12.538642707410949,14.899206496997556,48.599385156989655,14.467598499068446,34.13178665792121
22.76067136477754,10.343754767025526,12.416916597752014,27.604236628935634,13.614795796150492,13.989440832785142
19.829337953542957,10.716196135436052,9.113141818106907,23.110289823755693,10.827531667509671,12.282758156246022
27.029482396867014,9.482101353792256,17.547381043074754,27.721036039307357,11.36534121169351,16.35569482761385
18.693685304052323,9.819193290899904,8.874492013152418,32.786162100382015,13.291286136966946,19.49487596341507
19.86302350272135,10.07427339231763,9.78875011040372,27.9347217882623,16.120934806916264,11.81378698134604
24.956280720881143,11.442642104254928,13.513638616626217,32.95266833817371,10.017649034888596,22.935019303285117
23.1576328070775,12.332926494001605,10.824706313075906,39.23424468952985,12.6290854449513,26.60515924457855
23.68164616222348,12.695753859049937,10.985892303173543,33.704854027079584,10.815513800032736,22.889340227046848
21.192982716439918,9.971283852201001,11.221698864238922,28.154199038647143,12.994035924784663,15.160163113862481
21.74231435710186,11.031325888343115,10.710988468758751,35.06545996801795,16.78179855729107,18.28366141072687
23.929868723168404,13.960654500062615,9.969214223105789,26.965554614407157,10.939696619247513,16.02585799515964
18.49849886165162,9.773143963949614,8.725354897702003,25.40737108440827,9.933993913464931,15.473377170943337
17.365585664149886,9.754884895060103,7.610700769089787,21.959269127844188,9.48330436219965,12.475964765644537
17.819318827099572,9.70844854782006,8.110870279279512,23.887440129972507,10.12094777867342,13.766492351299087
17.094340693181103,9.658795469019017,7.435545224162083,24.691176921599585,9.408542619511294,15.282634302088288
15.657993581274889,8.813193412089168,6.844800169185722,22.024688074696286,10.465716609255463,11.558971465440823
15.777141173105697,9.049438150254717,6.727703022850982,25.991878431147633,10.22049532194578,15.771383109201855
13.242267799385786,7.214993269426765,6.027274529959022,26.74664949963385,10.865913889813104,15.880735609820746
13.552833449819213,8.090783290041418,5.462050159777792,28.063053970692007,12.433992119918603,15.629061850773402
14.391535522595499,8.266678780906851,6.124856741688646,19.259586928467293,8.622764222392139,10.636822706075154
15.97867816031393,8.422177198924935,7.556500961388992,23.406203959613578,10.50898660323229,12.89721735638129
